,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
24,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,09 tỷ",11/05/2021,68m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
25,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 17,"Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",5 triệu/tháng,11/05/2021,21m²,Đông Nam,,1,1,,Đăng nhập để xem,
26,Đất,Cần bán,Long An,Huyện Đức Hòa,Thị trấn Hiệp Hòa,"Tl 825, Thị trấn Hiệp Hòa, Huyện Đức Hòa, Long An","3,3 tỷ",11/05/2021,480m²,,,,,,Đăng nhập để xem,
27,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 10,"Đường Âu Cơ, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",14 triệu/tháng,11/05/2021,62m²,Tây,,3,2,Đã có sổ,Đăng nhập để xem,
28,Đất,Cần bán,Gia Lai,Huyện Mang Yang,Xã Đăk Djrăng,"Tỉnh lộ 666, Xã Đăk Djrăng, Huyện Mang Yang, Gia Lai",751 triệu,11/05/2021,266m²,,,,,Đã có sổ,Đăng nhập để xem,
29,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 14,"Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","3,15 tỷ",11/05/2021,94m²,,,4,4,Đã có sổ,Đăng nhập để xem,
30,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Xã Tân Hưng,"Đường ĐT753, Xã Tân Hưng, Huyện Đồng Phú, Bình Phước",600 triệu,11/05/2021,1.000m²,,,,,Đã có sổ,Đăng nhập để xem,
31,Đất,Cần bán,Quảng Ninh,Huyện Vân Đồn,Xã Hạ Long,"Đường 334, Xã Hạ Long, Huyện Vân Đồn, Quảng Ninh","6,825 tỷ",11/05/2021,195m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
32,Nhà,Cần bán,Hồ Chí Minh,Quận 1,Phường Cô Giang,"Đường Cô Giang, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",825 triệu,11/05/2021,28m²,,,1,1,Đã có sổ,Đăng nhập để xem,
33,"Căn hộ, Chung cư",Cho thuê,Đà Nẵng,Quận Ngũ Hành Sơn,Phường Mỹ An,"Đường An Thượng 34, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",4 triệu/tháng,11/05/2021,45m²,,,1,1,Đã có sổ,Đăng nhập để xem,
34,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 1,Phường Nguyễn Cư Trinh,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",5 triệu/tháng,11/05/2021,45m²,,,1,1,,Đăng nhập để xem,
35,Đất,Cần mua,Lâm Đồng,Thành phố Đà Lạt,Phường 12,"Đường Phước Tân, Phường 12, Thành phố Đà Lạt, Lâm Đồng",578 triệu,11/05/2021,150m²,,,,,Đã có sổ,Đăng nhập để xem,
36,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 26,"Đường Chu Văn An, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",12 triệu/tháng,11/05/2021,80m²,,,3,,Đã có sổ,Đăng nhập để xem,
37,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 14,"Đường Bàu Cát 2, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","1,55 tỷ",11/05/2021,43m²,,,2,1,Đã có sổ,Đăng nhập để xem,
38,Đất,Cần bán,Hồ Chí Minh,Quận 12,Phường An Phú Đông,"Đường An Phú Đông 27, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","2,65 tỷ",11/05/2021,50m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
39,Đất,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Tân Mai,"Đường Nguyễn Ái Quốc, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",850 triệu,11/05/2021,120m²,,,,,Đã có sổ,Đăng nhập để xem,
40,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long B,"Đường 279, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh","3,85 tỷ",11/05/2021,52m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
41,Nhà,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,"39, D40, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","6,8 tỷ",11/05/2021,65m²,,,2,2,Đã có sổ,Đăng nhập để xem,
42,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","1,75 tỷ",11/05/2021,60m²,,,2,1,,Đăng nhập để xem,
43,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Phú Hữu,"Đường Vành Đai trong, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh","11,5 tỷ",11/05/2021,98m²,Đông Nam,,4,4,Đã có sổ,Đăng nhập để xem,
44,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","7,2 tỷ",11/05/2021,60m²,,5,4,,Đã có sổ,Đăng nhập để xem,
45,Đất,Cần bán,Long An,Huyện Đức Hòa,Xã Mỹ Hạnh Nam,"TL9, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",340 triệu,11/05/2021,40m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
46,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","4,9 tỷ",11/05/2021,70m²,,3,4,5,Đã có sổ,Đăng nhập để xem,
47,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường Số 160, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh","5,5 tỷ",11/05/2021,92m²,Tây,2,4,2,Đã có sổ,Đăng nhập để xem,
48,Đất,Cần bán,Long An,Huyện Đức Hòa,Xã Mỹ Hạnh Nam,"Đường Tỉnh lộ 9, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",310 triệu,11/05/2021,64m²,,,,,Đã có sổ,Đăng nhập để xem,
49,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,"Đường Số 10, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","3,2 tỷ",11/05/2021,43m²,,2,2,2,Đã có sổ,Đăng nhập để xem,
50,Nhà,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 14,"Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Tp Hồ Chí Minh","6,9 tỷ",11/05/2021,33m²,,,4,3,Đã có sổ,Đăng nhập để xem,
51,Đất,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 17,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh","3,6 tỷ",11/05/2021,95m²,,,,,Đã có sổ,Đăng nhập để xem,
52,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",17 triệu/tháng,11/05/2021,106m²,,,3,2,Đã có sổ,Đăng nhập để xem,
53,Nhà,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Sơn,"Đường Kênh An Hạ, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh",595 triệu,11/05/2021,104m²,,,8,,Đã có sổ,Đăng nhập để xem,
54,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,"1074, Đường Tỉnh Lộ 10, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",6 triệu/tháng,11/05/2021,30m²,,,2,3,,Đăng nhập để xem,
55,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 10,"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","4,75 tỷ",11/05/2021,56m²,Đông Nam,3,3,3,Đã có sổ,Đăng nhập để xem,
56,Đất,Cần bán,Đà Nẵng,Quận Liên Chiểu,Phường Hòa Khánh Nam,"191, Nam cao, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","2,3 tỷ",11/05/2021,102m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
57,Nhà,Cần bán,Hồ Chí Minh,Quận 5,Phường 1,"Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh",6 tỷ,11/05/2021,30m²,,,2,1,Đã có sổ,Đăng nhập để xem,
58,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Thống Nhất,"Đường Nguyễn Văn Hoa, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai","1,53 tỷ",11/05/2021,78m²,,,2,2,Đã có sổ,Đăng nhập để xem,
59,Nhà,Cần bán,Bình Dương,Huyện Bàu Bàng,Xã Trừ Văn Thố,"Đường Thanh Niên 3, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",500 triệu,11/05/2021,100m²,,,2,2,Đã có sổ,Đăng nhập để xem,
60,Nhà,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Phú Hòa Đông,"Đường Cây Bài, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh","1,9 tỷ",11/05/2021,125m²,,,2,1,Đã có sổ,Đăng nhập để xem,
61,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","5,5 tỷ",11/05/2021,58m²,,,2,,,Đăng nhập để xem,
62,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 7,"Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",38 triệu/tháng,11/05/2021,135m²,,1,4,3,Đã có sổ,Đăng nhập để xem,
63,Đất,Cần bán,Kon Tum,Huyện Đắk Hà,Thị trấn Đắk Hà,"Đường Hùng Vương, Thị trấn Đắk Hà, Huyện Đắk Hà, Kon Tum",470 triệu,11/05/2021,170m²,,,,,,Đăng nhập để xem,
64,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,"Đường 1A, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","1,6 tỷ",11/05/2021,48m²,,1,2,2,Giấy tờ khác,Đăng nhập để xem,
65,Đất,Cần bán,Đà Nẵng,Quận Ngũ Hành Sơn,Phường Hoà Hải,"Đường Trường Sa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng","1,4 tỷ",11/05/2021,85m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
66,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường An Phú,"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh","2,5 tỷ",11/05/2021,51m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
67,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Trường Thạnh,"Đường Tam Đa, Phường Trường Thạnh, Quận 9, Tp Hồ Chí Minh","2,75 tỷ",11/05/2021,56m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
68,Nhà,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Tiến,"HẺM 40 DƯƠNG VĂN NGA, Phường Tân Tiến, Thành phố Buôn Ma Thuột, Đắk Lắk","1,83 tỷ",11/05/2021,105m²,Đông,,2,1,Đã có sổ,Đăng nhập để xem,
69,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,"Mũi tàu Nguyễn Thị Minh Khai, Phường Thuận Giao, Thành phố Thuận An, Bình Dương","1,5 tỷ",11/05/2021,50m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
70,Đất,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình Trưng Đông,"Đường 42, Phường Bình Trưng Đông, Quận 2, Tp Hồ Chí Minh","7,5 tỷ",11/05/2021,112m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
71,Đất,Cần bán,Khánh Hòa,Thành phố Cam Ranh,Phường Cam Nghĩa,"Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Thành phố Cam Ranh, Khánh Hòa","1,49 tỷ",11/05/2021,108m²,,,,,Đang chờ sổ,Đăng nhập để xem,
72,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,"Đường Thống Nhất, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","1,2 tỷ",11/05/2021,62m²,,,3,2,Đã có sổ,Đăng nhập để xem,
73,Đất,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,"đường liên khu4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",3 tỷ,11/05/2021,56m²,,,,,Đang chờ sổ,Đăng nhập để xem,
74,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,09 tỷ",11/05/2021,68m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
75,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 17,"Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",5 triệu/tháng,11/05/2021,21m²,Đông Nam,,1,1,,Đăng nhập để xem,
76,Đất,Cần bán,Long An,Huyện Đức Hòa,Thị trấn Hiệp Hòa,"Tl 825, Thị trấn Hiệp Hòa, Huyện Đức Hòa, Long An","3,3 tỷ",11/05/2021,480m²,,,,,,Đăng nhập để xem,
77,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 10,"Đường Âu Cơ, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",14 triệu/tháng,11/05/2021,62m²,Tây,,3,2,Đã có sổ,Đăng nhập để xem,
78,Đất,Cần bán,Gia Lai,Huyện Mang Yang,Xã Đăk Djrăng,"Tỉnh lộ 666, Xã Đăk Djrăng, Huyện Mang Yang, Gia Lai",751 triệu,11/05/2021,266m²,,,,,Đã có sổ,Đăng nhập để xem,
79,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 14,"Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","3,15 tỷ",11/05/2021,94m²,,,4,4,Đã có sổ,Đăng nhập để xem,
80,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Xã Tân Hưng,"Đường ĐT753, Xã Tân Hưng, Huyện Đồng Phú, Bình Phước",600 triệu,11/05/2021,1.000m²,,,,,Đã có sổ,Đăng nhập để xem,
81,Đất,Cần bán,Quảng Ninh,Huyện Vân Đồn,Xã Hạ Long,"Đường 334, Xã Hạ Long, Huyện Vân Đồn, Quảng Ninh","6,825 tỷ",11/05/2021,195m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
82,Nhà,Cần bán,Hồ Chí Minh,Quận 1,Phường Cô Giang,"Đường Cô Giang, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",825 triệu,11/05/2021,28m²,,,1,1,Đã có sổ,Đăng nhập để xem,
83,"Căn hộ, Chung cư",Cho thuê,Đà Nẵng,Quận Ngũ Hành Sơn,Phường Mỹ An,"Đường An Thượng 34, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",4 triệu/tháng,11/05/2021,45m²,,,1,1,Đã có sổ,Đăng nhập để xem,
84,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 1,Phường Nguyễn Cư Trinh,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",5 triệu/tháng,11/05/2021,45m²,,,1,1,,Đăng nhập để xem,
85,Đất,Cần mua,Lâm Đồng,Thành phố Đà Lạt,Phường 12,"Đường Phước Tân, Phường 12, Thành phố Đà Lạt, Lâm Đồng",578 triệu,11/05/2021,150m²,,,,,Đã có sổ,Đăng nhập để xem,
86,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 26,"Đường Chu Văn An, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",12 triệu/tháng,11/05/2021,80m²,,,3,,Đã có sổ,Đăng nhập để xem,
87,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 14,"Đường Bàu Cát 2, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","1,55 tỷ",11/05/2021,43m²,,,2,1,Đã có sổ,Đăng nhập để xem,
88,Đất,Cần bán,Hồ Chí Minh,Quận 12,Phường An Phú Đông,"Đường An Phú Đông 27, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","2,65 tỷ",11/05/2021,50m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
89,Đất,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Tân Mai,"Đường Nguyễn Ái Quốc, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",850 triệu,11/05/2021,120m²,,,,,Đã có sổ,Đăng nhập để xem,
90,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long B,"Đường 279, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh","3,85 tỷ",11/05/2021,52m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
91,Nhà,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,"39, D40, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","6,8 tỷ",11/05/2021,65m²,,,2,2,Đã có sổ,Đăng nhập để xem,
92,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","1,75 tỷ",11/05/2021,60m²,,,2,1,,Đăng nhập để xem,
93,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Phú Hữu,"Đường Vành Đai trong, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh","11,5 tỷ",11/05/2021,98m²,Đông Nam,,4,4,Đã có sổ,Đăng nhập để xem,
94,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","7,2 tỷ",11/05/2021,60m²,,5,4,,Đã có sổ,Đăng nhập để xem,
95,Đất,Cần bán,Long An,Huyện Đức Hòa,Xã Mỹ Hạnh Nam,"TL9, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",340 triệu,11/05/2021,40m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
96,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","4,9 tỷ",11/05/2021,70m²,,3,4,5,Đã có sổ,Đăng nhập để xem,
97,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường Số 160, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh","5,5 tỷ",11/05/2021,92m²,Tây,2,4,2,Đã có sổ,Đăng nhập để xem,
98,Đất,Cần bán,Long An,Huyện Đức Hòa,Xã Mỹ Hạnh Nam,"Đường Tỉnh lộ 9, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",310 triệu,11/05/2021,64m²,,,,,Đã có sổ,Đăng nhập để xem,
99,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,"Đường Số 10, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","3,2 tỷ",11/05/2021,43m²,,2,2,2,Đã có sổ,Đăng nhập để xem,
